id,type,room,start,end,language,zh,en,speakers,tags,co_write,qa,slide,record,uri,year
VDSBVW,7xkods,TR212,2024-08-03 14:10:00,2024-08-03 14:40:00,Chinese,"{'title': 'Argo CD Extension 在 UI 上也能做手工藝', 'description': '平常有很多需要 kubectl 下指令進到 Pod 裡做的事情，例如：拷貝檔案、做 JVM heep dump 之類的事情...\r\n現在透過 Argo CD Extension 只要動動手指，就能在網頁上一鍵達成。'}","{'title': 'Argo CD Extension 在 UI 上也能做手工藝', 'description': '平常有很多需要 kubectl 下指令進到 Pod 裡做的事情，例如：拷貝檔案、做 JVM heep dump 之類的事情...\r\n現在透過 Argo CD Extension 只要動動手指，就能在網頁上一鍵達成。'}",['RXJGVD'],"['zh-tw', 'Professional']",https://hackmd.io/@coscup/BkUVTb_Y0,,,,https://coscup.org/2024/session/VDSBVW,2024
CKL3PC,l0gknt,TR213,2024-08-04 12:50:00,2024-08-04 13:20:00,Chinese,"{'title': 'Web3 Phishing: Never-ending Growth, How to prevent it?', 'description': '隨著Web3技術的發展，釣魚攻擊手法也愈加精緻。攻擊者通過濫用智能合約和錢包的漏洞，設計巧妙的陷阱誘騙受害者。本次將詳細介紹智能合約釣魚的操作手法、駭客如何成功繞過錢包的安全檢查，以及一旦中招，如何採取有效措施。'}","{'title': 'Web3 Phishing: Never-ending Growth, How to Prevent It?', 'description': ""Web3 phishing tactics are becoming increasingly sophisticated. Even after we've learned to counter phishing websites and social engineering, why do we still fall into traps? Because the devil is in the details. In this discussion, I will introduce:\r\n\r\n1.Five cunning smart contract phishing techniques to help us delve deeper into hackers' methods, including Create2 Phishing, Shadow Phishing, Ice-Phishing, and more.\r\n2.Two methods that bypass wallet security checks.\r\n3.Key tips to help you minimize losses and respond effectively if you become a victim.""}",['NZW7WA'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/HJVGEGOYA,,,,https://coscup.org/2024/session/CKL3PC,2024
TPZ39S,o3xpox,TR411,2024-08-03 10:00:00,2024-08-03 10:30:00,Chinese,"{'title': '向 Linux 核心上游提交更動', 'description': '你對 Linux 核心開發有興趣嗎？你在工作上有向上游社群提交更動的需求嗎？想貢獻卻不知道怎麼進行嗎？本次議程將為各位介紹上游開發的流程，以及如何和社群互動。'}","{'title': 'Submitting Changes to Upstream Linux Kernel', 'description': 'This talk will be in Mandarin. There are plenty of talks on the subject in English. Feel free to stick around after the talk if you have questions though.'}",['HQ7DXW'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/rklLRZut0,,,,https://coscup.org/2024/session/TPZ39S,2024
ZKSLMP,96lixz,TR513,2024-08-03 11:40:00,2024-08-03 12:10:00,Chinese,"{'title': 'modmesh: Visualization that balances performance and flexibility for scientific computing', 'description': 'Visualization and performance are crucial in scientific computing. However, GUI development requires highly flexible code, while performance-oriented code needs specific tuning that may sacrifice flexibility. In this talk, we will demonstrate how to use a hybrid architecture (C++ and Python) that balances performance and flexibility in developing visualization applications.'}","{'title': 'modmesh: Visualization that balances performance and flexibility for scientific computing', 'description': 'Visualization and performance are crucial in scientific computing. However, GUI development requires highly flexible code, while performance-oriented code needs specific tuning that may sacrifice flexibility. In this talk, we will demonstrate how to use a hybrid architecture (C++ and Python) that balances performance and flexibility in developing visualization applications.'}",['HXBALJ'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/BJ5JeMuKR,,,,https://coscup.org/2024/session/ZKSLMP,2024
CXR7CA,mq7dnh,TR513,2024-08-04 14:20:00,2024-08-04 14:50:00,Chinese,"{'title': 'O-RAN與AI/ML平台的結合：實現AR/VR QoS的智能服務管理與部屬', 'description': '本次議程將介紹如何利用國立台灣科技大學行動資訊化實驗室（NTUST MITLab）開發的AI/ML平台，建構針對AR/VR應用的智能QoS服務。涵蓋從元數據創建、儲存到運行基礎架構的搭建，並詳細介紹資料前處理、模型設計與訓練等完整的Pipeline撰寫過程。以及展示如何透過QoS xApp控制srsRAN系統，調整針對終端設備（UE）的參數，以提升資料傳輸效率。'}","{'title': 'O-RAN與AI/ML平台的結合：實現AR/VR QoS的智能服務管理與部屬', 'description': '本次議程將介紹如何利用國立台灣科技大學行動資訊化實驗室（NTUST MITLab）開發的AI/ML平台，建構針對AR/VR應用的智能QoS服務。涵蓋從元數據創建、儲存到運行基礎架構的搭建，並詳細介紹資料前處理、模型設計與訓練等完整的Pipeline撰寫過程。以及展示如何透過QoS xApp控制srsRAN系統，調整針對終端設備（UE）的參數，以提升資料傳輸效率。'}",['NAF9S7'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/r1VCezOFR,,,,https://coscup.org/2024/session/CXR7CA,2024
JRCZ3Y,96lixz,TR513,2024-08-03 11:20:00,2024-08-03 11:35:00,Chinese,"{'title': 'scisprint: Opening Remark', 'description': ""Scisprint, hosted by the sciwork community, is a monthly coding sprint. It would like to facilitate discussions and exchanges among people in the fields of science, numerical computation, and engineering. Participants, regardless of experience level, can gain valuable development insights in this event.\r\n\r\nTo join the sprint, please bring your laptop, we're welcome everyone to join with us.""}","{'title': 'scisprint: Opening Remark', 'description': ""Scisprint, hosted by the sciwork community, is a monthly coding sprint. It would like to facilitate discussions and exchanges among people in the fields of science, numerical computation, and engineering. Participants, regardless of experience level, can gain valuable development insights in this event.\r\n\r\nTo join the sprint, please bring your laptop, we're welcome everyone to join with us.""}",['YYUHQC'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/rJBRkGdYA,,,,https://coscup.org/2024/session/JRCZ3Y,2024
VKSHDK,o3xpox,TR411,2024-08-03 10:35:00,2024-08-03 11:05:00,Chinese,"{'title': 'Refining Data Structure & Algorithm Implementations in the Linux Kernel for Improved Performance', 'description': 'The library code of the Linux kernel contains numerous fundamental data structures and algorithms, mostly located in the lib/ directory. These have been refined by many skilled developers, resulting in highly efficient implementations. However, further optimization possibilities remain. This talk introduces how data structures and algorithms used in the Linux kernel are implemented, along with recent optimization contributions made to the Linux kernel.'}","{'title': 'Refining Algorithms & Data Structure Implementations in the Linux Kernel for Improved Performance', 'description': 'The library code of the Linux kernel contains numerous fundamental data structures and algorithms, mostly located in the lib/ directory. These have been refined by many skilled developers, resulting in highly efficient implementations. However, further optimization possibilities remain. This talk introduces how data structures and algorithms used in the Linux kernel are implemented, along with recent optimization contributions made to the Linux kernel.'}",['JBMTJ8'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/rJUwCZOF0,,,,https://coscup.org/2024/session/VKSHDK,2024
XXYA98,qfwnwh,TR512,2024-08-03 14:00:00,2024-08-03 14:30:00,English,"{'title': 'Collaboration Without Borders: The Story Behind LibreOffice Conf. Asia X UbuConf Asia 2023', 'description': 'In this presentation, I will share my inspiring experience as the local committee in organising LibreOffice Conf. Asia X UbuConf Asia 2023 (LOUCA 2023), a borderless collaboration event between two open source communities. I will discuss the challenges we faced, the creative solutions we implemented, and the successes we achieved through close co-operation. By sharing this story, I hope to encourage more people to participate and contribute to open source projects, especially LibreOffice, and build a stronger community through cross-border collaboration.'}","{'title': 'Collaboration Without Borders: The Story Behind LibreOffice Conf. Asia X UbuConf Asia 2023', 'description': 'In this presentation, I will share my inspiring experience as the local committee in organising LibreOffice Conf. Asia X UbuConf Asia 2023 (LOUCA 2023), a borderless collaboration event between two open source communities. I will discuss the challenges we faced, the creative solutions we implemented, and the successes we achieved through close co-operation. By sharing this story, I hope to encourage more people to participate and contribute to open source projects, especially LibreOffice, and build a stronger community through cross-border collaboration.'}",['JBSAMN'],"['en', 'Elementary']",https://hackmd.io/@coscup/rk_5Zf_KA,,,,https://coscup.org/2024/session/XXYA98,2024
WZCDFT,doxrfs,TR511,2024-08-03 10:00:00,2024-08-03 10:30:00,Chinese,"{'title': 'SCaLE：打開北美開源世界的大門', 'description': '開源無國界，參與開源可以不只侷限在臺灣。在這次的演講中，我將分享在 Southern California Linux Expo (SCaLE) 的參展經歷。SCaLE 是美西著名的開源展覽，今年已經進入第二十一屆，但在臺灣的知名度較低。我會分享這次參展的見聞，幫助大家了解怎麼參加這個美國版的 COSCUP。\r\n\r\n如果覺得美國太遠，我也會分享過去踏出舒適區參與海外活動的歷程，希望能幫助您更有信心地邁出第一步。\r\n\r\n最後，我們還會分享一些從 SCaLE 帶回的紀念品，如紀念服、貼紙等，有收集紀念品興趣的朋友歡迎參加～\r\n\r\n讓我們一起探索開源世界，發掘更多的機會和挑戰。'}","{'title': 'Insights from SCaLE and Beyond', 'description': 'This talk will share our observations from the 21st edition of the Southern California Linux Expo and the Free/Libre and Open Source Software (FLOSS) communities in North America, as seen through the lens of Taiwan and East Asia.'}",['UHYCMT'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/ByklfGOFA,,,,https://coscup.org/2024/session/WZCDFT,2024
XGQPGA,o3xpox,TR411,2024-08-03 14:15:00,2024-08-03 14:45:00,Other,"{'title': '你的執行緒不是你的執行緒，親手打造 Linux 版 DLL injection', 'description': '過去在 Windows Security 的領域裡，DLL injection 會是一個基於 Windows API (VirtualAllocEx, WriteProcessMemory 等等)的手法進行。然而在強調精簡的 UNIX 哲學當中，並沒有對應的系統 API 提供這樣的 Hacking 技巧。雖然提升了動態注入等攻擊的實作難易度，但本次議程希望可以透過 ptrace 親手打造類似功能，進而提升自己對系統軟體的認識。'}","{'title': 'Your Thread is Not Your Thread: Handcrafting DLL Injection for Linux', 'description': '過去在 Windows Security 的領域裡，DLL injection 會是一個基於 Windows API (VirtualAllocEx, WriteProcessMemory 等等)的手法進行。然而在強調精簡的 UNIX 哲學當中，並沒有對應的系統 API 提供這樣的 Hacking 技巧。雖然提升了動態注入等攻擊的實作難易度，但本次議程希望可以透過 ptrace 親手打造類似功能，進而提升自己對系統軟體的認識。'}",['QZACUD'],['Middle'],https://hackmd.io/@coscup/r1N0AbuY0,,,,https://coscup.org/2024/session/XGQPGA,2024
DZJLHY,qfwnwh,TR512,2024-08-03 15:30:00,2024-08-03 16:00:00,English,"{'title': 'Give a new color to LibreOffice by designing a Srikandi Icon (Ladies-themed icon)', 'description': 'In this presentation I will share my experience as a designer in a project to create Srikandi Icon for LibreOffice. I will discuss the challenges we faced, the lessons I learned, and tips for working on a project. By sharing my experience, I hope to inspire the audience to come up with new ideas or further develop icon projects for LibreOffice.'}","{'title': 'Give a new color to LibreOffice by designing a Srikandi Icon (Ladies-themed icon)', 'description': 'In this presentation I will share my experience as a designer in a project to create Srikandi Icon for LibreOffice. I will discuss the challenges we faced, the lessons I learned, and tips for working on a project. By sharing my experience, I hope to inspire the audience to come up with new ideas or further develop icon projects for LibreOffice.'}",['GRCDAF'],"['en', 'Middle']",https://hackmd.io/@coscup/Hk7pWGdFR,,,,https://coscup.org/2024/session/DZJLHY,2024
SBASPY,4mf1nm,TR513,2024-08-04 12:20:00,2024-08-04 12:50:00,Chinese,"{'title': 'PyPy武器走，一知半解爬蟲記', 'description': 'Python 新手認領網站爬蟲任務，在過程中遇到的問題以及如何解決的過程。'}","{'title': 'What bug will a Python newbie crawl into?', 'description': ""User\r\nAs a novice in Python, I eagerly took on the task of web scraping. I sat at my computer, coding, coding, and coding, all the while crawling through the web pages of another's site. Being new to Python, I boldly claimed a crawling task for myself. What sort of 'bugs' will a newbie crawler Py into? (Did anyone catch the pun?)""}",['BYZD9P'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/B1m17MOKC,,,,https://coscup.org/2024/session/SBASPY,2024
HVUX9F,l0gknt,TR213,2024-08-04 14:50:00,2024-08-04 15:20:00,Chinese,"{'title': 'Introduction to Threshold signature schemes', 'description': 'In this presentation, we will introduce the functionalities of our open-source library, Alice, and discuss what the Threshold Signature Scheme is. It includes concepts such as distributed private key generation, threshold signatures, and some related concepts of HD wallets.'}","{'title': 'Introduction to Threshold signature schemes', 'description': 'In this presentation, we will introduce the functionalities of our open-source library, Alice, and discuss what the Threshold Signature Scheme is. It includes concepts such as distributed private key generation, threshold signatures, and some related concepts of HD wallets.'}",['C8YKCN'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/HJ8LEGdKC,,,,https://coscup.org/2024/session/HVUX9F,2024
J9WRVS,1af4ws,TR211,2024-08-04 13:30:00,2024-08-04 14:00:00,Chinese,"{'title': 'Entering SIMD Programming with Real-World Examples: A Code-Driven Journey', 'description': 'SIMD是一項神秘的程式設計領域，大多數人或許知道如何開啟參數來讓編譯器使用SIMD指令集最佳化，卻很少有人擁有實際的SIMD程式設計經驗。在這次的分享中，將透過開源專案的實際原始碼，來一層一層解析那些生澀的內容，學習如何利用SIMD指令集撰寫程式及加速。'}","{'title': 'Entering SIMD Programming with Real-World Examples: A Code-Driven Journey', 'description': 'SIMD is a mysterious field of programming that, while many may know how to enable options to allow the compiler to optimize with SIMD instruction sets, few have actual SIMD programming experience. In this presentation, through the real source code of open-source projects, we will peel back the layers of these obscure contents, learning how to write programs and accelerate using SIMD instruction sets.'}",['QTMJYV'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/HyT0SMdtR,,,,https://coscup.org/2024/session/J9WRVS,2024
778KP9,mmgptz,TR211,2024-08-03 11:45:00,2024-08-03 12:15:00,Taiwanese,"{'title': '開放資料甘苦談：匯入地址到OpenStreetMap 2024篇', 'description': '雖然阮 sī  講歡迎參與，毋過事實上阮猶是需要對政府遐匯入開放資料到OpenStreetMap。最近阮 ū 台中市、台南市、高雄市、新北市、台北市、桃園市、新竹市、苗栗縣、雲林縣、台東市。這場演講，阮 ē 分享挑戰 kah 拄著 ê 困難。'}","{'title': 'THe Journal of Open Data: Importing Address Dataset in 2024', 'description': 'It is quite a hash fact that even though we claim everyone is welcome, the OpenStreetMap communities still have to import datasets into OpenStreetMap. Recently OpenStreetMap Taiwan has already imported address datasets from Taichung City, Tainan City, Kaohsiung City, Taipei City, New Taipei City, Taoyuan City, Hsinchu City, Miaoli County, Yunlin County, and Taitong County. In this talk, I will summarize the challenges and obstruct we face during the import process.'}",['EEZE3E'],"['taiwanese', 'Middle']",https://hackmd.io/@coscup/B1OANMdK0,,,,https://coscup.org/2024/session/778KP9,2024
RWBFJR,l0gknt,TR213,2024-08-03 14:10:00,2024-08-03 14:40:00,Chinese,"{'title': 'AA-Native Wallet', 'description': ""As ERC-4337 rolled out, AA (Account Abstraction) and smart contract accounts had grown awareness these days. Disappointingly, most wallets for smart contract account in market today don't offer a smoothy user experience, especially when interacting with DApp, as long-lasting EOA (Externally Owned Account) wallets.\r\n\r\nThis talk will first cover the essentials of building a minimal wallet that can connect to existing DApp. Afterwards, it will introduce basic concepts of AA and ERC-4337, also the properties of AA account, which is a kind of smart contract account. In the second half, it will share an experimental design of AA account wallet, taking browser extension as example, to demonstrate how the design retains DApp interoperability and provide competitive experience with EOA wallets.""}","{'title': 'AA-Native Wallet', 'description': ""As ERC-4337 rolled out, AA (Account Abstraction) and smart contract accounts had grown awareness these days. Disappointingly, most wallets for smart contract account in market today don't offer a smoothy user experience, especially when interacting with DApp, as long-lasting EOA (Externally Owned Account) wallets.\r\n\r\nThis talk will first cover the essentials of building a minimal wallet that can connect to existing DApp. Afterwards, it will introduce basic concepts of AA and ERC-4337, also the properties of AA account, which is a kind of smart contract account. In the second half, it will share an experimental design of AA account wallet, taking browser extension as example, to demonstrate how the design retains DApp interoperability and provide competitive experience with EOA wallets.""}",['9FCJX9'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/H13umfOYC,,,,https://coscup.org/2024/session/RWBFJR,2024
TWWAWV,7k9swr,TR409-2,2024-08-03 10:45:00,2024-08-03 11:15:00,English,"{'title': 'How to Ride Elephants Safely', 'description': 'Every so often, one may be called upon to perform the tasks of a database administrator, especially in cases where application performance seems to be affected by the database. This talk will give non-DBAs an insight into how the world’s most powerful open-source database works, and the kind of tools and features that are readily available for people who unexpectedly find themselves in the DBA pilot’s seat. Topics covered will include query tuning, monitoring, indexing, and a basic run-down of some configurables to help you know what options are at your disposal'}","{'title': 'How to Ride Elephants Safely', 'description': 'Every so often, one may be called upon to perform the tasks of a database administrator, especially in cases where application performance seems to be affected by the database. This talk will give non-DBAs an insight into how the world’s most powerful open-source database works, and the kind of tools and features that are readily available for people who unexpectedly find themselves in the DBA pilot’s seat. Topics covered will include query tuning, monitoring, indexing, and a basic run-down of some configurables to help you know what options are at your disposal'}",['YWKWHX'],"['en', 'Elementary']",https://hackmd.io/@coscup/HkaLIMuFC,,,,https://coscup.org/2024/session/TWWAWV,2024
VESN7N,7xkods,TR212,2024-08-04 14:10:00,2024-08-04 14:40:00,Chinese,"{'title': 'Grafana Alloy 最佳實踐：多租户設計、性能優化與端到端追蹤', 'description': '1. 為什麼採用Alloy Gateway，並個別設定tenant的rate limit\r\n2. 使用loki rulers將常見的metrics（如web-vitals）從log精煉成metrics，並呈現在Grafana上\r\n3. 在前端app送一致的trace context propogation，並在Grafana上呈現end-to-end tracing\r\n4. 如何快速部署Grafana Alloy，如何達到multi-tenant設計?'}","{'title': 'Grafana Alloy Best Practice: Achieving RUM and end-to-end tracing', 'description': '1. 為什麼採用Alloy Gateway，並個別設定tenant的rate limit\r\n2. 使用loki rulers將常見的metrics（如web-vitals）從log精煉成metrics，並呈現在Grafana上\r\n3. 在前端app送一致的trace context propogation，並在Grafana上呈現end-to-end tracing\r\n4. 如何快速部署Grafana Alloy，如何達到multi-tenant設計?'}",['LAMZZQ'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/H1ieCbOt0,,,,https://coscup.org/2024/session/VESN7N,2024
NYMPBQ,1af4ws,TR211,2024-08-04 10:40:00,2024-08-04 11:10:00,Chinese,"{'title': 'Updating a SwiftUI App to Use the Composable Architecture', 'description': 'The Composable Architecture(TCA) 是一個開源的 SwiftUI 框架，目前也是開發 SwiftUI app 中最主流的趨勢。本次主題將會以重構原生 SwiftUI app 的方式，帶大家認識 TCA 裡的主要元件，和使用 TCA 的好處。'}","{'title': 'Updating a SwiftUI App to Use the Composable Architecture', 'description': 'The Composable Architecture(TCA) is an open source SwiftUI framework. Currently it is also the most popular trend in SwiftUI development. In this session, we will introduce the main components in TCA by integrating into a SwiftUI app, and see the benefits of using TCA.'}",['EE3YHA'],"['zh-tw', 'Elementary']",https://hackmd.io/@coscup/HywtrGdYC,,,,https://coscup.org/2024/session/NYMPBQ,2024
MAPBJD,2vtkgk,TR611,2024-08-04 13:00:00,2024-08-04 13:30:00,English,"{'title': ""Advancements in IHP's SG13G2 open-source PDK and EDA Tool Development"", 'description': 'The topic of this talk is the ongoing development of the IHP SG13G2 open-source Process Design Kit (PDK), a crucial resource for advancing analog, pure digital, mixed-signal, and RF design. We will explore the toolset provided within the PDK, including layout, simulation, and verification tools, like KLayout and ngspice. The discussion will also cover the collaborative efforts in refining device models and DRC rules, aiming to bridge the gap between innovative semiconductor research and practical, manufacturable designs. Attendees will gain insights into the challenges and solutions in PDK and EDA tool development, underscoring the importance of community contributions and open-source collaboration.'}","{'title': ""Advancements in IHP's SG13G2 open-source PDK and EDA Tool Development"", 'description': 'The topic of this talk is the ongoing development of the IHP SG13G2 open-source Process Design Kit (PDK), a crucial resource for advancing analog, pure digital, mixed-signal, and RF design. We will explore the toolset provided within the PDK, including layout, simulation, and verification tools, like KLayout and ngspice. The discussion will also cover the collaborative efforts in refining device models and DRC rules, aiming to bridge the gap between innovative semiconductor research and practical, manufacturable designs. Attendees will gain insights into the challenges and solutions in PDK and EDA tool development, underscoring the importance of community contributions and open-source collaboration.'}",['J9L9SW'],"['en', 'Professional']",https://hackmd.io/@coscup/SkNkOfdtC,,,,https://coscup.org/2024/session/MAPBJD,2024
F9Q8FJ,kq2w3t,TR210,2024-08-03 11:10:00,2024-08-03 11:40:00,Chinese,"{'title': '從第一個 PR，到千星專案', 'description': '在這個議程將會分享自己送出人生第一個 PR之後到做出一個千星開源專案的開源經驗分享。\r\n不會帶入太多艱澀的技術，希望以自己的經驗為基礎用比較輕鬆的方式讓聽眾感受到，就算不是大神，只是一個簡單的修改都可以對開源專案做出貢獻，並且在各個角落與其他開源社群的人互相幫助。\r\n並在最後分享對於開源專案維護者的一些心得以及建議。'}","{'title': '從第一個 PR，到千星專案', 'description': '在這個議程將會分享自己送出人生第一個 PR之後到做出一個千星開源專案的開源經驗分享。\r\n不會帶入太多艱澀的技術，希望以自己的經驗為基礎用比較輕鬆的方式讓聽眾感受到，就算不是大神，只是一個簡單的修改都可以對開源專案做出貢獻，並且在各個角落與其他開源社群的人互相幫助。\r\n並在最後分享對於開源專案維護者的一些心得以及建議。'}",['MG98JR'],"['zh-tw', 'Middle']",https://hackmd.io/@coscup/r16O_zdKA,,,,https://coscup.org/2024/session/F9Q8FJ,2024
VLABXY,7k9swr,TR409-2,2024-08-04 13:00:00,2024-08-04 13:30:00,English,"{'title': 'Beyond CRUD: Leveraging Advanced SQL for Backend Optimization', 'description': ""This presentation highlights a backend engineer's journey in optimizing financial data analysis by advancing from basic CRUD operations to sophisticated SQL features. Faced with the challenge of slow API responses due to extensive database interactions, a novel approach was adopted—transferring computational processes directly into the database. This shift not only streamlined data retrieval through single SQL queries but also enhanced performance by exploiting SQL's advanced functionalities like Materialized Views, CTEs, and Window Functions. The initiative not only significantly reduced API response times but also minimized development and maintenance overhead, demonstrating the power of advanced SQL in backend optimization and the importance of embracing database capabilities for system efficiency.""}","{'title': 'Beyond CRUD: Leveraging Advanced SQL for Backend Optimization', 'description': ""This presentation highlights a backend engineer's journey in optimizing financial data analysis by advancing from basic CRUD operations to sophisticated SQL features. Faced with the challenge of slow API responses due to extensive database interactions, a novel approach was adopted—transferring computational processes directly into the database. This shift not only streamlined data retrieval through single SQL queries but also enhanced performance by exploiting SQL's advanced functionalities like Materialized Views, CTEs, and Window Functions. The initiative not only significantly reduced API response times but also minimized development and maintenance overhead, demonstrating the power of advanced SQL in backend optimization and the importance of embracing database capabilities for system efficiency.""}","['QTMJYV', 'Y88CXS']","['en', 'Middle']",https://hackmd.io/@coscup/SJL4vMOYA,,,,https://coscup.org/2024/session/VLABXY,2024
P3HXPF,o06nfs,TR214,2024-08-03 13:20:00,2024-08-03 13:50:00,English,"{'title': 'Cultivating Impactful Student Developer Ecosystems: Strategies and Insights', 'description': 'Picture this: a bustling campus, alive with the hum of creativity and the clatter of keyboards. Drawing from personal experiences and insights, through this talk, we will explore the art of cultivating impactful student developer communities in campuses such as those visualized to learn skills, share experiences and build projects together. We shall explore how student developer programs such as Google Developer Students Club and GitHub Campus Experts can be effective catalysts in the process but definitely not prerequisites. We’ll further delve into the nuances of making sure that these student developer communities are inclusive, psychologically safe and how by leveraging these, students can lead in-person and online conferences, meetups, hackathons and maintain open source projects.'}","{'title': 'Cultivating Impactful Student Developer Ecosystems: Strategies and Insights', 'description': 'Picture this: a bustling campus, alive with the hum of creativity and the clatter of keyboards. Drawing from personal experiences and insights, through this talk, we will explore the art of cultivating impactful student developer communities in campuses such as those visualized to learn skills, share experiences and build projects together. We shall explore how student developer programs such as Google Developer Students Club and GitHub Campus Experts can be effective catalysts in the process but definitely not prerequisites. We’ll further delve into the nuances of making sure that these student developer communities are inclusive, psychologically safe and how by leveraging these, students can lead in-person and online conferences, meetups, hackathons and maintain open source projects.'}",['FKN7LV'],"['en', 'Elementary']",https://hackmd.io/@coscup/SknPtzdtC,,,,https://coscup.org/2024/session/P3HXPF,2024
